time_stamp,time_index,same_time_count,time,period,adj_time,away,home,total,play,player,fg_makes,fg_misses,3_makes,3_misses,ft_makes,ft_misses,points,team
3 10:18 58 58 1,3 10:18 58 58,1,1900-01-01 00:10:18,3,0 days 00:25:42,58,58,116,Bam Adebayo defensive rebound,,,,,,,,,
3 10:21 58 58 1,3 10:21 58 58,1,1900-01-01 00:10:21,3,0 days 00:25:39,58,58,116,Kentavious Caldwell-Pope misses 27-foot step back jumpshot,Kentavious Caldwell-Pope,,,,1,,,,
3 10:40 58 58 1,3 10:40 58 58,1,1900-01-01 00:10:40,3,0 days 00:25:20,58,58,116,Jimmy Butler makes 17-foot pullup jump shot,Jimmy Butler,1,,,,,,2,Miami Heat
3 10:52 58 56 1,3 10:52 58 56,1,1900-01-01 00:10:52,3,0 days 00:25:08,58,56,114,Dennis Schroder steps out of bounds turnover,,,,,,,,,
3 10:57 58 56 1,3 10:57 58 56,1,1900-01-01 00:10:57,3,0 days 00:25:03,58,56,114,Andre Drummond defensive rebound,,,,,,,,,
3 11:01 58 56 1,3 11:01 58 56,1,1900-01-01 00:11:01,3,0 days 00:24:59,58,56,114,Victor Oladipo misses 25-foot three point jumper,Victor Oladipo,,,,1,,,,
3 11:08 58 56 1,3 11:08 58 56,1,1900-01-01 00:11:08,3,0 days 00:24:52,58,56,114,Dennis Schroder personal take foul,,,,,,,,,
3 11:10 58 56 1,3 11:10 58 56,1,1900-01-01 00:11:10,3,0 days 00:24:50,58,56,114,Dennis Schroder bad pass (Jimmy Butler steals),,,,,,,,,
3 11:23 58 56 1,3 11:23 58 56,1,1900-01-01 00:11:23,3,0 days 00:24:37,58,56,114,Bam Adebayo makes 13-foot jumper (Duncan Robinson assists),Bam Adebayo,1,,,,,,2,Miami Heat
3 11:40 58 54 1,3 11:40 58 54,1,1900-01-01 00:11:40,3,0 days 00:24:20,58,54,112,Andre Drummond makes free throw 2 of 2,Andre Drummond,,,,,1,,1,
3 11:40 57 54 1,3 11:40 57 54,1,1900-01-01 00:11:40,3,0 days 00:24:20,57,54,111,Andre Drummond makes free throw 1 of 2,Andre Drummond,,,,,1,,1,
3 11:40 56 54 1,3 11:40 56 54,1,1900-01-01 00:11:40,3,0 days 00:24:20,56,54,110,Bam Adebayo shooting foul,,,,,,,,,
3 12:00 56 54 1,3 12:00 56 54,1,1900-01-01 00:12:00,3,0 days 00:24:00,56,54,110,Andre Drummond enters the game for Montrezl Harrell,,,,,,,,,
3 12:00 56 54 2,3 12:00 56 54,2,1900-01-01 00:12:00,3,0 days 00:24:00,56,54,110,Bam Adebayo enters the game for Andre Iguodala,,,,,,,,,
3 12:00 56 54 3,3 12:00 56 54,3,1900-01-01 00:12:00,3,0 days 00:24:00,56,54,110,Victor Oladipo enters the game for Tyler Herro,,,,,,,,,
3 12:00 56 54 4,3 12:00 56 54,4,1900-01-01 00:12:00,3,0 days 00:24:00,56,54,110,Duncan Robinson enters the game for Goran Dragic,,,,,,,,,
2 0.0 56 54 1,2 0.0 56 54,1,1900-01-01 00:00:00,2,0 days 00:24:00,56,54,110,End of the 2nd Quarter,,,,,,,,,
2 0.1 56 54 1,2 0.1 56 54,1,1900-01-01 00:00:00,2,0 days 00:24:00,56,54,110,Lakers offensive team rebound,,,,,,,,,
2 1.7 56 54 1,2 1.7 56 54,1,1900-01-01 00:00:01,2,0 days 00:23:59,56,54,110,Dennis Schroder misses 42-foot three point jumper,Dennis Schroder,,,,1,,,,
2 3.4 56 54 1,2 3.4 56 54,1,1900-01-01 00:00:03,2,0 days 00:23:57,56,54,110,Goran Dragic lost ball turnover (Montrezl Harrell steals),,,,,,,,,
2 10.8 56 54 1,2 10.8 56 54,1,1900-01-01 00:00:10,2,0 days 00:23:50,56,54,110,Montrezl Harrell makes 1-foot dunk (Dennis Schroder assists),Montrezl Harrell,1,,,,,,2,Los Angeles Lakers
2 26.6 54 54 1,2 26.6 54 54,1,1900-01-01 00:00:26,2,0 days 00:23:34,54,54,108,Kentavious Caldwell-Pope defensive rebound,,,,,,,,,
2 29.8 54 54 1,2 29.8 54 54,1,1900-01-01 00:00:29,2,0 days 00:23:31,54,54,108,Goran Dragic misses 12-foot two point shot,Goran Dragic,,1,,,,,,
2 45.3 54 54 1,2 45.3 54 54,1,1900-01-01 00:00:45,2,0 days 00:23:15,54,54,108,Andre Iguodala enters the game for Bam Adebayo,,,,,,,,,
2 45.3 54 54 2,2 45.3 54 54,2,1900-01-01 00:00:45,2,0 days 00:23:15,54,54,108,Markieff Morris out of bounds lost ball turnover,,,,,,,,,
2 1:03 54 54 1,2 1:03 54 54,1,1900-01-01 00:01:03,2,0 days 00:22:57,54,54,108,Jimmy Butler bad pass (Wesley Matthews steals),,,,,,,,,
2 1:09 54 54 1,2 1:09 54 54,1,1900-01-01 00:01:09,2,0 days 00:22:51,54,54,108,Jimmy Butler defensive rebound,,,,,,,,,
2 1:11 54 54 1,2 1:11 54 54,1,1900-01-01 00:01:11,2,0 days 00:22:49,54,54,108,Montrezl Harrell misses 6-foot hook shot,Montrezl Harrell,,1,,,,,,
2 1:12 54 54 1,2 1:12 54 54,1,1900-01-01 00:01:12,2,0 days 00:22:48,54,54,108,Montrezl Harrell offensive rebound,,,,,,,,,
2 1:14 54 54 1,2 1:14 54 54,1,1900-01-01 00:01:14,2,0 days 00:22:46,54,54,108,Dennis Schroder misses 28-foot three point jumper,Dennis Schroder,,,,1,,,,
2 1:22 54 54 1,2 1:22 54 54,1,1900-01-01 00:01:22,2,0 days 00:22:38,54,54,108,Markieff Morris defensive rebound,,,,,,,,,
2 1:24 54 54 1,2 1:24 54 54,1,1900-01-01 00:01:24,2,0 days 00:22:36,54,54,108,Jimmy Butler misses two point shot,Jimmy Butler,,1,,,,,,
2 1:26 54 54 1,2 1:26 54 54,1,1900-01-01 00:01:26,2,0 days 00:22:34,54,54,108,Jimmy Butler offensive rebound,,,,,,,,,
2 1:29 54 54 1,2 1:29 54 54,1,1900-01-01 00:01:29,2,0 days 00:22:31,54,54,108,Bam Adebayo misses 11-foot two point shot,Bam Adebayo,,1,,,,,,
2 1:36 54 54 1,2 1:36 54 54,1,1900-01-01 00:01:36,2,0 days 00:22:24,54,54,108,Goran Dragic defensive rebound,,,,,,,,,
2 1:39 54 54 1,2 1:39 54 54,1,1900-01-01 00:01:39,2,0 days 00:22:21,54,54,108,Wesley Matthews misses 24-foot three point jumper,Wesley Matthews,,,,1,,,,
2 1:57 54 54 1,2 1:57 54 54,1,1900-01-01 00:01:57,2,0 days 00:22:03,54,54,108,Bam Adebayo makes 12-foot jumper (Jimmy Butler assists),Bam Adebayo,1,,,,,,2,Miami Heat
2 2:14 54 52 1,2 2:14 54 52,1,1900-01-01 00:02:14,2,0 days 00:21:46,54,52,106,Trevor Ariza defensive rebound,,,,,,,,,
